recording_id,audio_video,subject,month,start_dt,end_dt,start_ms,end_ms,sub_recording_id
audio_01_06,audio,01,06,1920-01-01 08:26:45,1920-01-02 00:26:44,0,57599990,audio_01_06_0
audio_01_07,audio,01,07,1920-01-01 09:03:54,1920-01-02 01:03:53,0,57599990,audio_01_07_0
audio_01_08,audio,01,08,1920-01-01 09:31:57,1920-01-02 01:31:56,0,57599990,audio_01_08_0
audio_01_09,audio,01,09,1920-01-01 06:09:34,1920-01-01 22:09:33,0,57599990,audio_01_09_0
audio_01_10,audio,01,10,1920-01-01 06:27:24,1920-01-01 22:27:23,0,57599990,audio_01_10_0
audio_01_11,audio,01,11,1920-01-01 06:36:10,1920-01-01 22:36:09,0,57599990,audio_01_11_0
audio_01_12,audio,01,12,1920-01-01 07:21:25,1920-01-01 23:21:24,0,57599990,audio_01_12_0
audio_01_13,audio,01,13,1920-01-01 06:38:59,1920-01-01 22:38:58,0,57599990,audio_01_13_0
audio_01_14,audio,01,14,1920-01-01 07:32:43,1920-01-01 23:32:42,0,57599990,audio_01_14_0
audio_01_15,audio,01,15,1920-01-01 07:29:54,1920-01-01 23:29:53,0,57599990,audio_01_15_0
audio_01_16,audio,01,16,1920-01-01 07:48:29,1920-01-01 23:48:28,0,57599990,audio_01_16_0
audio_01_17,audio,01,17,1920-01-01 07:20:35,1920-01-01 23:20:34,0,57599990,audio_01_17_0
audio_02_06,audio,02,06,1920-01-01 08:50:22,1920-01-02 00:50:21,0,57599990,audio_02_06_0
audio_02_07,audio,02,07,1920-01-01 09:42:46,1920-01-02 01:42:45,0,57599990,audio_02_07_0
audio_02_08,audio,02,08,1920-01-01 07:50:39,1920-01-01 23:50:38,0,57599990,audio_02_08_0
audio_02_09,audio,02,09,1920-01-01 07:39:18,1920-01-01 23:39:17,0,57599990,audio_02_09_0
audio_02_10,audio,02,10,1920-01-01 06:36:45,1920-01-01 22:36:44,0,57599990,audio_02_10_0
audio_02_11,audio,02,11,1920-01-01 07:52:53,1920-01-01 23:52:52,0,57599990,audio_02_11_0
audio_02_12,audio,02,12,1920-01-01 07:55:19,1920-01-01 23:55:18,0,57599990,audio_02_12_0
audio_02_13,audio,02,13,1920-01-01 06:13:35,1920-01-01 22:13:34,0,57599990,audio_02_13_0
audio_02_14,audio,02,14,1920-01-01 08:32:15,1920-01-02 00:32:14,0,57599990,audio_02_14_0
audio_02_15,audio,02,15,1920-01-01 08:21:17,1920-01-02 00:21:16,0,57599990,audio_02_15_0
audio_02_16,audio,02,16,1920-01-01 07:36:05,1920-01-01 23:36:04,0,57599990,audio_02_16_0
audio_02_17,audio,02,17,1920-01-01 07:27:17,1920-01-01 23:27:16,0,57599990,audio_02_17_0
audio_03_06,audio,03,06,1920-01-01 08:59:02,1920-01-02 00:59:01,0,57599990,audio_03_06_0
audio_03_07,audio,03,07,1920-01-01 07:57:14,1920-01-01 23:57:13,0,57599990,audio_03_07_0
audio_03_08,audio,03,08,1920-01-01 08:25:50,1920-01-02 00:25:49,0,57599990,audio_03_08_0
audio_03_09,audio,03,09,1920-01-01 07:09:05,1920-01-01 23:09:04,0,57599990,audio_03_09_0
audio_03_10,audio,03,10,1920-01-01 08:15:54,1920-01-02 00:15:53,0,57599990,audio_03_10_0
audio_03_11,audio,03,11,1920-01-01 06:34:03,1920-01-01 22:34:02,0,57599990,audio_03_11_0
audio_03_12,audio,03,12,1920-01-01 08:19:45,1920-01-02 00:19:44,0,57599990,audio_03_12_0
audio_03_13,audio,03,13,1920-01-01 08:03:38,1920-01-02 00:03:37,0,57599990,audio_03_13_0
audio_03_14,audio,03,14,1920-01-01 06:27:42,1920-01-01 22:27:41,0,57599990,audio_03_14_0
audio_03_15,audio,03,15,1920-01-01 08:17:58,1920-01-02 00:17:57,0,57599990,audio_03_15_0
audio_03_16,audio,03,16,1920-01-01 08:49:00,1920-01-02 00:48:59,0,57599990,audio_03_16_0
audio_03_17,audio,03,17,1920-01-01 07:45:48,1920-01-01 23:45:47,0,57599990,audio_03_17_0
audio_04_06,audio,04,06,1920-01-01 08:44:23,1920-01-01 20:35:54,0,42691430,audio_04_06_0
audio_04_07,audio,04,07,1920-01-01 09:35:55,1920-01-01 22:01:20,0,44725110,audio_04_07_0
audio_04_08,audio,04,08,1920-01-01 07:58:08,1920-01-01 21:20:33,0,48145860,audio_04_08_0
audio_04_09,audio,04,09,1920-01-01 11:02:39,1920-01-01 21:45:24,0,38565360,audio_04_09_0
audio_04_10,audio,04,10,1920-01-01 09:27:13,1920-01-01 22:20:42,0,46409180,audio_04_10_0
audio_04_11,audio,04,11,1920-01-01 10:42:55,1920-01-01 20:31:25,0,35310800,audio_04_11_0
audio_04_12,audio,04,12,1920-01-01 10:09:18,1920-01-01 20:40:30,0,37872600,audio_04_12_0
audio_04_12,audio,04,12,1920-01-01 20:40:31,1920-01-01 20:40:34,37872600,37875610,audio_04_12_37872600
audio_04_13,audio,04,13,1920-01-01 09:49:59,1920-01-01 20:53:54,0,39835800,audio_04_13_0
audio_04_14,audio,04,14,1920-01-01 08:25:40,1920-01-01 20:55:09,0,44969740,audio_04_14_0
audio_04_15,audio,04,15,1920-01-01 08:52:15,1920-01-01 21:40:01,0,46066300,audio_04_15_0
audio_04_16,audio,04,16,1920-01-01 09:22:29,1920-01-01 20:17:12,0,39283180,audio_04_16_0
audio_04_17,audio,04,17,1920-01-01 10:32:44,1920-01-01 22:09:57,0,41833110,audio_04_17_0
audio_06_06,audio,06,06,1920-01-01 09:50:15,1920-01-01 21:11:53,0,40898490,audio_06_06_0
audio_06_07,audio,06,07,1920-01-01 09:54:08,1920-01-02 01:54:07,0,57599990,audio_06_07_0
audio_06_08,audio,06,08,1920-01-01 08:30:07,1920-01-01 20:54:17,0,44650860,audio_06_08_0
audio_06_09,audio,06,09,1920-01-01 06:28:20,1920-01-01 20:29:13,0,50453860,audio_06_09_0
audio_06_10,audio,06,10,1920-01-01 07:26:20,1920-01-01 10:45:54,0,11974100,audio_06_10_0
audio_06_10,audio,06,10,1920-01-01 10:59:28,1920-01-01 23:39:53,11974100,57599990,audio_06_10_11974100
audio_06_11,audio,06,11,1920-01-01 07:59:46,1920-01-01 23:59:45,0,57599990,audio_06_11_0
audio_06_12,audio,06,12,1920-01-01 07:20:35,1920-01-01 23:20:34,0,57599990,audio_06_12_0
audio_06_13,audio,06,13,1920-01-01 07:39:35,1920-01-01 23:39:34,0,57599990,audio_06_13_0
audio_06_14,audio,06,14,1920-01-01 09:32:11,1920-01-01 19:22:36,0,35425420,audio_06_14_0
audio_06_14,audio,06,14,1920-01-01 19:23:40,1920-01-02 01:33:14,35425420,57599990,audio_06_14_35425420
